t,nCasesLoc,nCasesImp
05-Apr-2018,0,1
06-Apr-2018,0,0
07-Apr-2018,0,0
08-Apr-2018,1,0
09-Apr-2018,0,0
10-Apr-2018,0,0
11-Apr-2018,0,0
12-Apr-2018,3,0
13-Apr-2018,1,0
14-Apr-2018,0,0
15-Apr-2018,0,0
16-Apr-2018,0,0
17-Apr-2018,0,0
18-Apr-2018,1,0
19-Apr-2018,1,0
20-Apr-2018,1,0
21-Apr-2018,1,0
22-Apr-2018,0,0
23-Apr-2018,1,0
24-Apr-2018,1,0
25-Apr-2018,1,0
26-Apr-2018,0,0
27-Apr-2018,1,0
28-Apr-2018,0,0
29-Apr-2018,0,0
30-Apr-2018,0,0
01-May-2018,2,0
02-May-2018,0,0
03-May-2018,2,0
04-May-2018,6,0
05-May-2018,1,0
06-May-2018,1,0
07-May-2018,1,0
08-May-2018,1,0
09-May-2018,0,0
10-May-2018,2,0
11-May-2018,0,0
12-May-2018,1,0
13-May-2018,2,0
14-May-2018,2,0
15-May-2018,3,0
16-May-2018,2,0
17-May-2018,0,0
18-May-2018,2,0
19-May-2018,2,0
20-May-2018,3,0
21-May-2018,2,0
22-May-2018,0,0
23-May-2018,0,0
24-May-2018,0,0
25-May-2018,0,0
26-May-2018,0,0
27-May-2018,0,0
28-May-2018,1,0
29-May-2018,0,0
30-May-2018,0,0
31-May-2018,0,0
01-Jun-2018,0,0
02-Jun-2018,1,0
03-Jun-2018,0,0
04-Jun-2018,0,0
05-Jun-2018,0,0
06-Jun-2018,0,0
07-Jun-2018,0,0
08-Jun-2018,0,0
09-Jun-2018,0,0
10-Jun-2018,0,0
11-Jun-2018,0,0
12-Jun-2018,0,0
13-Jun-2018,0,0
14-Jun-2018,0,0
15-Jun-2018,0,0
16-Jun-2018,0,0
17-Jun-2018,0,0
18-Jun-2018,0,0
19-Jun-2018,0,0
20-Jun-2018,0,0
21-Jun-2018,0,0
22-Jun-2018,0,0
23-Jun-2018,0,0
24-Jun-2018,0,0
25-Jun-2018,0,0
26-Jun-2018,0,0
27-Jun-2018,0,0
28-Jun-2018,0,0
29-Jun-2018,0,0
30-Jun-2018,0,0
01-Jul-2018,0,0
02-Jul-2018,0,0
03-Jul-2018,0,0
04-Jul-2018,0,0
05-Jul-2018,0,0
06-Jul-2018,0,0
07-Jul-2018,0,0
08-Jul-2018,0,0
09-Jul-2018,0,0
10-Jul-2018,0,0
